Parameter,MAE,RMSE
WHTP,0.083910756,0.11212745
DSP,0.033739032,0.1215208
THP,0.0607648,0.09278111
Pressure DS Choke,0.042806473,0.113387938
Temperature DS Choke,0.091695538,0.097683835
CHP,4.32E-05,4.32E-05
TAP,0.000502832,0.000502832
BCP,0.007155538,0.007155538
Liquid (BLPD),0.040723963,0.041186055
OIL (BOPD),0.054205941,0.075484963
GAS (MCF),0.133388061,0.175962883
WATER (BWPD),0.013069967,0.040285555
GOR (MCF),0.001794937,0.003427471
,,
,Avg MAE,Avg RMSE
,0.043369311,0.06781151
Training Time: 18.60 seconds,,
