Parameter,MAE,RMSE
THP,0.085861447,0.108410734
THT,0.014815183,0.014815183
Pressure DS Choke,0.059731715,0.075909734
Temperature DS Choke,0.027988184,0.055057177
CHP,0.004180789,0.004180789
BCP,0.002957523,0.002957523
Liquid (BLPD),0.07099676,0.09779386
OIL (BOPD),0.058902813,0.088843032
GAS (MCF),0.159046466,0.203156964
WATER (BWPD),0.069459484,0.08809377
GOR (MCF),0.089998642,0.112812644
,,
,Avg MAE,Avg RMSE
,0.05853991,0.077457401
Training Time: 16.57 sec,,
