Parameter,MAE,RMSE
WHTP,0.15121379,0.187038123
THP,0.14902531,0.183399744
Pressure DS Choke,0.010594606,0.010594606
Temperature DS Choke,0.009015042,0.011185285
TAP,0.011574507,0.011574507
Liquid (BLPD),0.008818452,0.008818452
OIL (BOPD),0.016206003,0.016206003
GAS (MCF),0.00931446,0.00931446
WATER (BWPD),0.002261296,0.002261296
GOR (MCF),0.005109201,0.005109201
,,
,Avg MAE,Avg RMSE
,0.037313267,0.044550168
Training Time: 17.20 sec,,
