Parameter,MAE,RMSE
WHTP,0.039641936,0.054898086
DSP,0.01789297,0.01789297
THP,0.049365849,0.063518491
Pressure DS Choke,0.011081585,0.011081585
Temperature DS Choke,0.030539556,0.039063912
CHP,0.001027952,0.001027952
TAP,0.013685346,0.013685346
Liquid (BLPD),0.017907193,0.017907193
OIL (BOPD),0.001088505,0.001088505
GAS (MCF),0.021914553,0.021914553
WATER (BWPD),0.009347459,0.009347459
GOR (MCF),0.029366919,0.029366919
,,
,Avg MAE,Avg RMSE
,0.020238319,0.023399414
Training Time: 17.27 sec,,
