Parameter,MAE,RMSE
WHTP,0.03737405,0.046790996
DSP,0.029344577,0.090749325
THP,0.03613542,0.04538481
THT,0.039118528,0.039118528
Pressure DS Choke,0.070595938,0.101196463
Temperature DS Choke,0.04174587,0.044990661
CHP,0.010978212,0.010978212
TAP,0.014800996,0.014800996
BCP,0.007946372,0.007946372
Liquid (BLPD),0.012480764,0.012511984
OIL (BOPD),0.002076589,0.007465422
GAS (MCF),0.006950498,0.007009361
WATER (BWPD),0.012184653,0.017535671
GOR (MCF),0.003712007,0.004895252
,,
,Avg MAE,Avg RMSE
,0.023246034,0.032241004
Training Time: 17.41 sec,,
