Parameter,MAE,RMSE
THP,0.043478167,0.05388425
Pressure DS Choke,0.047347261,0.058336958
Temperature DS Choke,0.049204848,0.069906663
CHP,0.01481235,0.01481235
TAP,0.000358246,0.000358246
Liquid (BLPD),0.050234675,0.050234675
OIL (BOPD),0.002767971,0.002767971
GAS (MCF),0.000189315,0.000189315
WATER (BWPD),0.006375487,0.006375487
GOR (MCF),0.000582143,0.000582143
,,
,Avg MAE,Avg RMSE
,0.021535046,0.025744806
Training Time: 16.31 sec,,
