Parameter,MAE,RMSE
WHTP,0.131755107,0.168573856
THP,0.123681803,0.161128548
Pressure DS Choke,0.028946156,0.090666685
Temperature DS Choke,0.045801916,0.084848447
CHP,0.009927126,0.065647316
BCP,0.002466347,0.011513968
Liquid (BLPD),0.008069256,0.01606626
OIL (BOPD),0.054860911,0.056669856
GAS (MCF),0.135322024,0.189591657
WATER (BWPD),0.008819481,0.014089464
GOR (MCF),0.123659029,0.178527867
,,
,Avg MAE,Avg RMSE
,0.061209923,0.094302175
Training Time: 16.50 seconds,,
