Parameter,MAE,RMSE
THP,0.142677966,0.172505139
Pressure DS Choke,0.041044913,0.051234861
Temperature DS Choke,0.026212163,0.056333278
CHP,0.012544068,0.084661645
TAP,0.003288086,0.003288086
Liquid (BLPD),0.02361031,0.077854111
OIL (BOPD),0.017951162,0.023537105
GAS (MCF),0.212505406,0.237859998
WATER (BWPD),0.01750176,0.071670045
GOR (MCF),0.020972681,0.024363984
,,
,Avg MAE,Avg RMSE
,0.051830852,0.080330825
Training Time: 17.13 seconds,,
